GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Short Drama Generator,com.shortdrama.dto.response,ApiResponse.ApiResponseBuilder,56,0,0,0,1,0,8,0,8,0
Short Drama Generator,com.shortdrama.dto.response,LoginResponse.LoginResponseBuilder,46,0,0,0,1,0,7,0,7,0
Short Drama Generator,com.shortdrama.dto.response,ApiResponse,283,0,42,0,29,0,41,0,20,0
Short Drama Generator,com.shortdrama.dto.response,LoginResponse,212,0,38,0,6,0,33,0,14,0
Short Drama Generator,com.shortdrama.service,MinioStorageService,228,10,2,0,60,2,7,2,6,2
Short Drama Generator,com.shortdrama.service,CustomUserDetailsService,26,6,0,0,7,1,2,1,2,1
Short Drama Generator,com.shortdrama.dto.request,UserRegistrationRequest,211,0,38,0,6,0,33,0,14,0
Short Drama Generator,com.shortdrama.dto.request,CreateProjectRequest,299,0,54,0,8,0,45,0,18,0
Short Drama Generator,com.shortdrama.dto.request,CreateChapterRequest,255,0,46,0,7,0,39,0,16,0
Short Drama Generator,com.shortdrama.dto.request,CreateEpisodeRequest,385,0,70,0,10,0,57,0,22,0
Short Drama Generator,com.shortdrama.dto.request,LoginRequest,125,0,22,0,4,0,21,0,10,0
Short Drama Generator,com.shortdrama.dto.request,CreateEpisodeRequest.CreateEpisodeRequestBuilder,83,0,0,0,1,0,11,0,11,0
Short Drama Generator,com.shortdrama.dto.request,UpdateNovelRequest.UpdateNovelRequestBuilder,36,0,0,0,1,0,6,0,6,0
Short Drama Generator,com.shortdrama.dto.request,CreateNovelRequest.CreateNovelRequestBuilder,36,0,0,0,1,0,6,0,6,0
Short Drama Generator,com.shortdrama.dto.request,CreateCharacterRequest,341,0,62,0,9,0,51,0,20,0
Short Drama Generator,com.shortdrama.dto.request,UpdateNovelRequest,168,0,30,0,5,0,27,0,12,0
Short Drama Generator,com.shortdrama.dto.request,UserRegistrationRequest.UserRegistrationRequestBuilder,45,0,0,0,1,0,7,0,7,0
Short Drama Generator,com.shortdrama.dto.request,CreateNovelRequest,168,0,30,0,5,0,27,0,12,0
Short Drama Generator,com.shortdrama.dto.request,CreateCharacterRequest.CreateCharacterRequestBuilder,73,0,0,0,1,0,10,0,10,0
Short Drama Generator,com.shortdrama.dto.request,LoginRequest.LoginRequestBuilder,27,0,0,0,1,0,5,0,5,0
Short Drama Generator,com.shortdrama.dto.request,CreateChapterRequest.CreateChapterRequestBuilder,55,0,0,0,1,0,8,0,8,0
Short Drama Generator,com.shortdrama.dto.request,CreateProjectRequest.CreateProjectRequestBuilder,65,0,0,0,1,0,9,0,9,0
Short Drama Generator,com.shortdrama,Application,5,3,0,0,2,1,1,1,1,1
Short Drama Generator,com.shortdrama.service.impl,ChapterServiceImpl,38,56,2,0,8,10,6,6,5,6
Short Drama Generator,com.shortdrama.service.impl,CharacterServiceImpl,41,77,2,0,7,16,6,7,5,7
Short Drama Generator,com.shortdrama.service.impl,ProjectServiceImpl,53,80,2,0,8,17,8,7,7,7
Short Drama Generator,com.shortdrama.service.impl,UserServiceImpl,60,45,2,0,10,9,7,6,6,6
Short Drama Generator,com.shortdrama.service.impl,NovelServiceImpl,43,97,0,2,6,19,5,10,5,9
Short Drama Generator,com.shortdrama.service.impl,EpisodeServiceImpl,97,107,3,1,14,24,14,7,12,7
Short Drama Generator,com.shortdrama.exception,UnauthorizedException,5,0,0,0,2,0,1,0,1,0
Short Drama Generator,com.shortdrama.exception,GlobalExceptionHandler,132,7,0,0,45,2,6,2,6,2
Short Drama Generator,com.shortdrama.exception,ResourceNotFoundException,6,22,0,0,2,4,2,1,2,1
Short Drama Generator,com.shortdrama.exception,BusinessException,26,10,0,0,10,4,4,1,4,1
Short Drama Generator,com.shortdrama.exception,ValidationException,5,0,0,0,2,0,1,0,1,0
Short Drama Generator,com.shortdrama.controller,CharacterController,175,9,0,0,41,1,12,1,12,1
Short Drama Generator,com.shortdrama.controller,NovelController,140,9,0,0,32,1,8,1,8,1
Short Drama Generator,com.shortdrama.controller,EpisodeController,250,12,4,0,57,1,19,1,17,1
Short Drama Generator,com.shortdrama.controller,ProjectController,205,12,0,0,47,1,12,1,12,1
Short Drama Generator,com.shortdrama.controller,ChapterController,168,9,6,0,36,1,13,1,10,1
Short Drama Generator,com.shortdrama.controller,AuthController,109,15,4,0,27,1,5,1,3,1
Short Drama Generator,com.shortdrama.entity,User.UserBuilder,43,82,0,4,0,1,4,11,4,9
Short Drama Generator,com.shortdrama.entity,Episode.EpisodeStatus,0,45,0,0,0,2,0,1,0,1
Short Drama Generator,com.shortdrama.entity,Novel.NovelStatus,0,33,0,0,0,6,0,1,0,1
Short Drama Generator,com.shortdrama.entity,Character.CharacterStatus,0,15,0,0,0,2,0,1,0,1
Short Drama Generator,com.shortdrama.entity,Project.ProjectBuilder,52,103,1,5,0,1,5,13,4,11
Short Drama Generator,com.shortdrama.entity,Chapter,450,76,94,0,6,9,65,12,18,12
Short Drama Generator,com.shortdrama.entity,User,425,63,86,0,7,7,63,9,20,9
Short Drama Generator,com.shortdrama.entity,Character.CharacterBuilder,44,79,0,2,0,1,4,11,4,10
Short Drama Generator,com.shortdrama.entity,Episode.EpisodeBuilder,69,92,0,2,0,1,7,12,7,11
Short Drama Generator,com.shortdrama.entity,Novel.NovelBuilder,92,108,2,6,0,1,12,11,10,9
Short Drama Generator,com.shortdrama.entity,Chapter.ChapterBuilder,54,69,0,2,0,1,6,9,6,8
Short Drama Generator,com.shortdrama.entity,Novel,648,114,134,0,10,10,94,16,27,16
Short Drama Generator,com.shortdrama.entity,User.Role,0,15,0,0,0,2,0,1,0,1
Short Drama Generator,com.shortdrama.entity,User.UserStatus,0,21,0,0,0,2,0,1,0,1
Short Drama Generator,com.shortdrama.entity,Episode,575,124,126,0,7,12,79,22,16,22
Short Drama Generator,com.shortdrama.entity,Project,478,105,102,0,6,10,67,18,16,18
Short Drama Generator,com.shortdrama.entity,Project.ProjectStatus,0,27,0,0,0,2,0,1,0,1
Short Drama Generator,com.shortdrama.entity,Character,425,100,94,0,3,12,58,19,11,19
Short Drama Generator,com.shortdrama.entity,Project.ProjectType,0,21,0,0,0,2,0,1,0,1
Short Drama Generator,com.shortdrama.config,SecurityConfig,0,93,0,0,0,16,0,6,0,6
Short Drama Generator,com.shortdrama.config,OpenApiConfig,0,48,0,0,0,15,0,2,0,2
Short Drama Generator,com.shortdrama.config,MinioConfig,0,14,0,0,0,5,0,2,0,2
